사랑을 하는 사람과 사랑을 받는 사람은 항상 따로 있어.,윌리엄 서머셋
겁쟁이는 사랑을 드러낼 능력이 없다. 사랑은 용기있는 자의 특권이다.,마하트마 간디
우정이 바탕이 되지 않는 모든 사랑은 모래 위에 지은 집과 같다.,엘라 휠러 윌콕스
세상에는 빵 한 조각 때문에 죽어가는 사람도 많지만, 작은 사랑도 받지 못해서 죽어가는 사람은 더 많다.,마더 테레사
더 많이 사랑하는 것 외에 다른 사랑의 치료약은 없다.,헨리 데이비드 소로우
행복하게 여행하려면 가볍게 여행해야 한다.,생텍쥐페리
인간사에는 안정된 것이 하나도 없음을 기억하라. 그러므로 성공에 들뜨거나 역경에 지나치게 의기소침하지 마라.,소크라테스
오래 살기를 원하면 잘 살아라. 어리석음과 사악함이 수명을 줄인다.,벤s자민 프랭클린
나이가 성숙을 보장하지는 않는다.,라와나 블랙웰
인생의 최대 역설은 살아서 빠져나오는 사람이 거의 없다는 점이다.,로버트 하인라인
내일은 우리가 어제로부터 무엇인가 배웠기를 바란다.,존 웨인
누구에게나 친구는 어느 누구에게도 친구가 아니다.,아리스토텔레스
낡은 외투를 그냥 입고 새 책을 사라.,오스틴 펠프스
읽다 죽어도 멋져 보일 책을 항상 읽으라.,P. J. 오루크
당신은 지체할 수도 있지만 시간은 그러하지 않을 것이다.,벤자민 프랭클린
